iter	Passed	Remaining
399	56678	14169
400	56854	14036
401	57013	13898
402	57161	13758
403	57299	13615
404	57413	13467
405	57558	13326
406	57697	13183
407	57863	13047
408	58053	12916
409	58407	12821
410	58667	12704
411	58916	12584
412	59099	12449
413	59259	12309
414	59420	12170
415	59558	12026
416	59687	11880
417	59952	11761
418	60182	11634
419	60348	11495
420	60642	11379
421	60788	11235
422	60909	11087
423	61057	10944
424	61230	10805
425	61372	10660
426	61493	10512
427	61656	10372
428	61795	10227
429	61937	10082
430	62094	9940
431	62239	9796
432	62376	9651
433	62518	9507
434	62681	9366
435	62828	9222
436	62955	9075
437	63087	8930
438	63225	8785
439	63359	8639
440	63503	8495
441	63640	8351
442	63798	8208
443	63936	8064
444	64077	7919
445	64202	7773
446	64349	7629
447	64493	7485
448	64622	7340
449	64754	7194
450	64890	7050
451	65026	6905
452	65147	6759
453	65288	6615
454	65419	6470
455	65559	6325
456	65699	6181
457	65837	6037
458	65975	5893
459	66111	5748
460	66237	5603
461	66395	5461
462	66533	5316
463	66666	5172
464	66803	5028
465	66934	4883
466	67068	4739
467	67224	4596
468	67382	4453
469	67514	4309
470	67659	4165
471	67807	4022
472	67954	3878
473	68090	3734
474	68235	3591
475	68380	3447
476	68502	3303
477	68634	3158
478	68783	3015
479	68901	2870
480	69061	2728
481	69194	2584
482	69325	2440
483	69448	2295
484	69581	2152
485	69713	2008
486	69854	1864
487	70001	1721
488	70139	1577
489	70328	1435
490	70654	1295
491	70798	1151
492	71000	1008
493	71214	864
494	71340	720
495	71462	576
496	71611	432
497	71811	288
498	72022	144
499	72159	0
