iter	MAPE	RMSE	R2	MAE
0	0.05651113335	0.9813042379	0.1732505824	0.7824409711
2	0.04668985165	0.814104009	0.4309815667	0.6461118759
4	0.03880943584	0.6802427326	0.6027221333	0.5367161151
6	0.03246557634	0.5730282787	0.7180846923	0.4486986647
8	0.02743081252	0.4874890377	0.7959689536	0.3787564092
10	0.02329781246	0.4190722824	0.8492197623	0.3213801867
12	0.02011523615	0.3655501683	0.8852743505	0.2771765214
14	0.01756506307	0.3227805095	0.9105498333	0.2417974046
16	0.01557845753	0.2896146531	0.9279875459	0.2141869465
18	0.01404481281	0.2635141209	0.9403824213	0.1928206523
20	0.01285038344	0.243402173	0.9491354214	0.1761950727
22	0.01198197021	0.2285734616	0.9551442462	0.1640831637
24	0.0112918781	0.2172664787	0.959472296	0.1544433741
26	0.01070370587	0.2077279263	0.9629527206	0.1462391837
28	0.01027363742	0.200774213	0.9653915289	0.140315962
30	0.009907840967	0.1950200781	0.9673468412	0.1353195026
32	0.00964132871	0.1906996218	0.9687776051	0.1315545319
34	0.009402359275	0.1868993907	0.9700095958	0.1282429928
36	0.009220052355	0.1840555285	0.9709153205	0.1257238331
38	0.009012215516	0.181109169	0.971839042	0.1228816445
40	0.008791033803	0.1778736965	0.9728362322	0.1198534113
42	0.00860046364	0.174687193	0.9738007607	0.1172765792
44	0.008427844349	0.1718402369	0.9746477637	0.1149197803
46	0.00827253111	0.1695659259	0.9753143982	0.1127733939
48	0.008151345693	0.1676665922	0.9758643153	0.1110981963
50	0.00804184654	0.1657431892	0.9764148886	0.1096032026
52	0.007943380737	0.1641491712	0.9768663619	0.1081768264
54	0.007889277723	0.163085638	0.9771651595	0.1074177816
56	0.007827128767	0.1619621294	0.9774786974	0.1065957118
58	0.00776091263	0.1609511561	0.9777589775	0.1056478513
60	0.007699511703	0.159937604	0.9780382107	0.1047919743
62	0.007637738062	0.1589890361	0.9782979429	0.1039848552
64	0.007562995669	0.157771128	0.9786291592	0.1028730416
66	0.007519364256	0.1570555577	0.9788225743	0.102270281
68	0.00746834387	0.156136885	0.979069598	0.1016029488
70	0.007410274102	0.1552525158	0.9793060287	0.1007697735
72	0.007377579646	0.1546724224	0.9794603838	0.1003117392
74	0.007317197364	0.1537295324	0.9797100414	0.0995010815
76	0.007262610433	0.1529517858	0.9799148235	0.09878966334
78	0.007192795884	0.1520048503	0.9801627512	0.09787086669
80	0.007161203811	0.1514419773	0.9803093936	0.09740281692
82	0.00709740948	0.1505549741	0.9805393758	0.09652335017
84	0.007056197955	0.1497883789	0.9807370503	0.09598245764
86	0.007003339451	0.1489803088	0.9809443271	0.09524226357
88	0.006919997732	0.1479437016	0.9812085839	0.09408016643
90	0.006882611751	0.1473522234	0.9813585395	0.09355747697
92	0.006853384218	0.1467172638	0.9815188502	0.09318523452
